Mod_Inf,Mods_count
mod_merged_antiquewhite,21
mod_merged_dodgerblue4,21
mod_merged_tan3,21
mod_merged_palevioletred1,21
mod_merged_mediumpurple1,21
mod_merged_lightsteelblue,21
mod_merged_indianred,21
mod_merged_hotpink3,21
mod_merged_green3,21
mod_merged_bisque4,21
mod_merged_green,21
mod_merged_deepskyblue,21
mod_merged_darkolivegreen4,21
mod_merged_darkmagenta,21
mod_merged_chocolate2,21
mod_merged_chocolate,21
mod_merged_brown2,21
mod_merged_blue2,21
mod_merged_tomato2,21
mod_merged_dodgerblue1,20
mod_merged_lavender,20
mod_merged_lightblue2,20
