Mod_Inf,Mods_count
mod_merged_antiquewhite,21
mod_merged_indianred,21
mod_merged_chocolate,21
mod_merged_green3,21
mod_merged_deepskyblue,20
mod_merged_mediumpurple1,20
mod_merged_green,20
mod_merged_darkmagenta,20
mod_merged_darkolivegreen4,19
mod_merged_dodgerblue1,19
mod_merged_dodgerblue4,19
mod_merged_bisque4,19
mod_merged_chocolate2,19
mod_merged_hotpink3,19
mod_merged_brown2,19
mod_merged_lightsteelblue,19
mod_merged_blue2,19
mod_merged_tan3,19
mod_merged_tomato2,19
mod_merged_lavender,18
mod_merged_lightblue2,18
mod_merged_palevioletred1,18
