,Mod_Inf,Mod_Lng_Inf,Mod_Ctl,Mod_Lng_Ctl,Genes_diff,Perc_diff
262,mod_merged_coral4,98,mod_merged_darkolivegreen2,1175,91,92.8571428571429
263,mod_merged_coral4,98,mod_merged_honeydew1,1047,88,89.795918367347
264,mod_merged_coral4,98,mod_merged_antiquewhite,577,94,95.9183673469388
265,mod_merged_coral4,98,mod_merged_navajowhite3,492,97,98.9795918367347
266,mod_merged_coral4,98,mod_merged_mediumpurple1,273,98,100
267,mod_merged_coral4,98,mod_merged_coral1,141,98,100
268,mod_merged_coral4,98,mod_merged_mediumpurple3,109,98,100
269,mod_merged_coral4,98,mod_merged_navajowhite1,87,98,100
270,mod_merged_coral4,98,mod_merged_blue3,79,97,98.9795918367347
271,mod_merged_coral4,98,mod_merged_brown3,39,98,100
272,mod_merged_coral4,98,mod_merged_antiquewhite3,764,97,98.9795918367347
273,mod_merged_coral4,98,mod_merged_firebrick2,210,98,100
